"Отметка времени","Отношение к людям ","Отношение к шумным компаниям","Отношение к работе","Сон","Активность","Отношение к дороге","Многозадачность","Стресс","Отношение к делам","Планирование","Мотивация","Хобби",""
"2022/08/30 11:23:16 PM GMT+9","5","5","9","3","8","6","6","4","8","6","6","7","6"
"2022/08/30 11:24:18 PM GMT+9","7","7","7","5","6","8","8","8","6","4","4","7","5"
"2022/08/30 11:27:14 PM GMT+9","7","7","8","3","5","10","3","4","8","3","7","9","7"
"2022/08/30 11:27:16 PM GMT+9","10","6","10","6","10","10","7","10","10","7","7","5","7"
"2022/08/30 11:29:04 PM GMT+9","3","2","5","3","8","6","10","10","10","9","7","10","7"
"2022/08/30 11:29:20 PM GMT+9","7","6","3","8","5","4","5","5","4","2","4","6","4"
"2022/08/30 11:38:05 PM GMT+9","4","2","6","9","5","3","7","8","8","6","5","3",""
"2022/08/30 11:39:55 PM GMT+9","5","3","1","7","1","9","1","1","1","4","1","4",""
"2022/08/30 11:41:12 PM GMT+9","2","2","5","7","8","10","8","8","10","6","7","6",""
"2022/08/31 2:30:25 AM GMT+9","8","8","8","10","8","10","8","10","7","8","4","10",""
"2022/08/31 9:21:11 AM GMT+9","5","4","2","2","1","7","4","1","5","9","1","4",""
"2022/08/31 9:46:47 AM GMT+9","8","7","7","5","5","4","8","7","8","5","6","3",""
"2022/08/31 8:07:41 PM GMT+9","10","9","10","6","7","5","6","5","8","10","8","10",""
"2022/08/31 8:08:20 PM GMT+9","3","4","10","5","5","4","7","4","9","8","8","2",""
"2022/08/31 8:17:15 PM GMT+9","8","7","6","4","5","5","5","8","8","7","5","8",""
"2022/08/31 8:28:23 PM GMT+9","9","5","10","5","8","9","7","4","10","8","8","4",""
"2022/08/31 8:38:31 PM GMT+9","6","7","6","6","7","7","3","5","7","7","4","4",""
"2022/08/31 9:07:54 PM GMT+9","1","5","1","9","5","7","5","4","2","5","1","10",""
"2022/08/31 9:09:52 PM GMT+9","3","4","8","8","10","7","8","9","8","7","9","10",""
"2022/08/31 9:44:15 PM GMT+9","5","5","5","7","5","8","3","3","7","8","10","9",""
"2022/09/01 8:27:17 PM GMT+9","3","4","7","2","5","7","5","5","6","4","4","6",""
"2022/09/01 8:27:28 PM GMT+9","10","10","10","6","8","7","7","9","9","6","8","8",""
"2022/09/01 8:28:28 PM GMT+9","3","1","9","8","6","5","5","8","7","4","4","10",""
"2022/09/01 8:29:28 PM GMT+9","9","9","9","8","8","5","9","9","9","5","8","8",""
"2022/09/01 8:32:43 PM GMT+9","7","7","8","1","7","8","7","6","9","4","5","5",""
"2022/09/01 8:42:25 PM GMT+9","3","3","4","6","3","6","7","4","4","4","5","7",""
"2022/09/01 9:01:01 PM GMT+9","9","10","7","2","4","8","6","9","9","5","6","3",""
"2022/09/01 10:40:09 PM GMT+9","5","4","8","6","6","7","8","8","7","4","6","6",""
"2022/09/02 8:31:02 PM GMT+9","3","1","5","6","3","4","4","5","7","4","7","4",""
"2022/09/02 8:50:45 PM GMT+9","6","4","6","2","1","10","2","5","4","10","1","8",""
"2022/09/02 8:51:04 PM GMT+9","4","2","9","5","5","4","7","4","9","6","5","2",""
"2022/09/02 8:51:22 PM GMT+9","6","6","5","5","8","9","5","6","7","4","4","3",""
"2022/09/02 8:52:36 PM GMT+9","4","5","5","3","6","5","8","5","5","7","5","3",""
"2022/09/02 8:53:17 PM GMT+9","10","5","5","3","4","8","9","3","5","4","6","10",""
"2022/09/02 8:56:14 PM GMT+9","10","10","10","10","10","10","10","10","10","10","10","10",""
"2022/09/02 8:56:36 PM GMT+9","4","4","6","8","6","6","6","6","6","7","6","6",""
"2022/09/02 8:59:23 PM GMT+9","10","9","10","6","9","8","9","7","10","10","10","10",""
"2022/09/02 9:06:20 PM GMT+9","5","3","6","5","5","6","6","6","4","6","8","6",""
"2022/09/02 9:13:35 PM GMT+9","1","3","8","9","6","7","7","8","8","8","8","4",""
"2022/09/02 9:17:44 PM GMT+9","5","5","5","7","10","10","8","9","9","7","5","8",""
"2022/09/02 9:21:38 PM GMT+9","5","5","8","9","4","10","4","10","7","1","1","4",""
"2022/09/02 9:21:44 PM GMT+9","8","8","9","4","7","1","5","7","7","3","5","9",""
"2022/09/02 9:27:23 PM GMT+9","3","5","5","7","5","4","7","5","7","6","7","7",""
"2022/09/02 10:00:23 PM GMT+9","8","8","8","8","9","4","8","9","7","4","10","5",""
"2022/09/02 10:10:37 PM GMT+9","4","3","7","4","3","5","3","3","7","6","4","6",""
"2022/09/02 10:37:48 PM GMT+9","7","6","9","4","4","6","6","4","8","3","9","10",""
"2022/09/02 10:50:55 PM GMT+9","1","3","5","3","1","10","6","6","5","2","7","9",""
"2022/09/03 4:36:50 PM GMT+9","5","6","2","7","6","6","7","8","8","7","10","5",""
"2022/09/03 5:28:10 PM GMT+9","5","4","8","4","5","6","8","8","3","5","5","10",""
"2022/09/03 9:54:24 PM GMT+9","7","6","7","3","6","2","10","3","7","4","6","5",""
"2022/09/03 9:55:27 PM GMT+9","8","6","10","8","8","8","10","4","10","9","7","4",""
"2022/09/03 9:57:01 PM GMT+9","3","4","9","3","5","9","4","6","6","10","4","4",""
"2022/09/03 9:57:53 PM GMT+9","5","6","8","4","7","4","8","4","9","8","4","4",""
"2022/09/03 9:58:23 PM GMT+9","6","5","9","8","8","7","9","8","10","10","5","4",""
"2022/09/03 10:04:04 PM GMT+9","8","3","8","7","6","10","7","10","6","1","7","6",""
"2022/09/03 10:04:05 PM GMT+9","7","10","5","6","4","5","7","6","9","8","8","8",""
"2022/09/03 10:04:36 PM GMT+9","7","4","5","3","1","4","2","1","3","1","1","7",""
"2022/09/03 10:05:37 PM GMT+9","4","4","8","8","6","9","5","3","6","5","5","6",""
"2022/09/03 10:06:04 PM GMT+9","3","4","7","2","3","5","5","7","5","3","5","5",""
"2022/09/03 10:06:40 PM GMT+9","1","4","7","3","8","3","4","4","7","8","3","6",""
"2022/09/03 10:07:05 PM GMT+9","8","7","9","4","6","3","6","7","7","10","7","3",""
"2022/09/03 10:07:27 PM GMT+9","8","3","7","2","3","6","9","5","1","5","3","10",""
"2022/09/03 10:08:13 PM GMT+9","7","5","8","4","1","10","4","4","8","4","4","4",""
"2022/09/03 10:18:35 PM GMT+9","2","5","5","3","5","7","10","7","8","2","6","4",""
"2022/09/03 10:21:10 PM GMT+9","6","8","7","3","7","7","9","1","8","10","5","8",""
"2022/09/03 10:22:25 PM GMT+9","2","3","9","4","5","8","8","6","6","9","8","6",""
"2022/09/03 10:27:58 PM GMT+9","5","2","7","3","5","5","2","2","9","3","3","1",""
"2022/09/03 10:31:22 PM GMT+9","4","6","10","3","3","8","3","4","8","3","7","7",""
"2022/09/03 10:35:25 PM GMT+9","6","4","8","7","6","2","10","3","9","6","6","6",""
"2022/09/03 10:42:17 PM GMT+9","7","5","5","4","4","5","7","4","4","3","7","2",""
"2022/09/03 10:45:07 PM GMT+9","4","3","5","7","3","2","3","3","4","2","5","4",""
"2022/09/03 10:46:53 PM GMT+9","4","7","8","9","5","5","7","8","8","9","7","3",""
"2022/09/03 10:48:55 PM GMT+9","6","8","3","4","5","3","9","2","8","3","9","2",""
"2022/09/03 10:50:47 PM GMT+9","5","3","3","4","5","10","7","8","5","9","5","6",""
"2022/09/03 10:52:17 PM GMT+9","10","7","8","5","8","9","7","8","9","5","8","5",""
"2022/09/03 10:54:25 PM GMT+9","5","4","8","5","6","3","7","3","4","6","7","8",""
"2022/09/03 10:55:46 PM GMT+9","2","1","5","7","5","10","3","6","4","5","2","9",""
"2022/09/03 10:56:10 PM GMT+9","5","5","8","7","5","6","7","7","7","5","8","9",""
"2022/09/03 11:01:42 PM GMT+9","2","5","7","3","8","8","8","7","9","8","8","8",""
"2022/09/03 11:05:31 PM GMT+9","2","10","10","10","5","10","7","6","9","10","7","7",""
"2022/09/03 11:10:28 PM GMT+9","1","3","5","3","6","5","4","1","5","4","2","8",""
"2022/09/03 11:22:21 PM GMT+9","3","4","7","4","2","5","2","5","9","6","5","6",""
"2022/09/03 11:30:24 PM GMT+9","10","6","9","4","7","7","6","6","8","9","8","6",""
"2022/09/03 11:34:25 PM GMT+9","5","4","6","7","1","10","10","7","6","6","7","5",""
"2022/09/03 11:55:04 PM GMT+9","3","4","7","4","3","10","5","3","6","5","1","3",""
"2022/09/03 11:58:53 PM GMT+9","5","3","7","3","4","10","5","4","9","5","3","8",""
"2022/09/04 12:20:36 AM GMT+9","2","4","7","3","5","5","4","9","5","7","3","8",""
"2022/09/04 12:50:07 AM GMT+9","9","10","10","7","6","6","6","9","4","3","1","8",""
"2022/09/04 1:00:27 AM GMT+9","2","3","8","2","2","2","5","4","8","2","4","7",""
"2022/09/04 2:14:16 AM GMT+9","4","3","9","9","10","9","9","10","10","4","10","10",""
"2022/09/04 2:20:34 AM GMT+9","7","6","9","3","5","9","7","7","8","8","6","3",""
"2022/09/04 2:20:51 AM GMT+9","6","5","7","3","5","4","6","4","7","6","5","9",""
"2022/09/04 2:23:26 AM GMT+9","4","4","9","7","5","8","6","7","6","6","4","8",""
"2022/09/04 3:07:07 AM GMT+9","9","4","10","3","8","7","6","6","7","8","6","6",""
"2022/09/04 4:27:54 AM GMT+9","3","2","9","5","3","9","1","3","4","2","3","3",""
"2022/09/04 4:35:33 AM GMT+9","3","4","8","4","4","1","9","9","8","7","4","7",""
"2022/09/04 5:45:00 AM GMT+9","3","5","6","3","2","10","9","3","5","6","4","8",""
"2022/09/04 7:00:15 AM GMT+9","1","1","4","3","2","2","3","3","4","5","2","1",""
"2022/09/04 11:50:58 AM GMT+9","8","7","8","5","4","5","4","4","7","5","4","5",""